DeathDate,Sterbedatum
BirthDate,Geburtsdatum
FuelCapacity,Kraftstoffkapazität
FuelConsumption,Kraftstoffverbrauch
MarketCapitalisation,Marktkapitalisierung
RestingDate,Bestattungsdatum
ZipCode,Postleitzahl
Acceleration,Beschleunigung
BirthYear,Geburtsjahr
DeathYear,Sterbejahr
Diameter,Durchmesser
Height,Höhe
Length,Länge
NetIncome,Nettoergebnis
OperatingIncome,Betriebsergebnis
PopulationTotal,Einwohnerzahl
PowerOutput,Ausgangsleistung
TopSpeed,Höchstgeschwindigkeit
Weight,Gewicht
Wheelbase,Radstand
Width,Breite
Company,Unternehmen
Activity,Aktivität
Name,Name
Person,Person
Actor,Schauspieler
Place,Ort
Publisher,Herausgeber
Genre,Genre
Language,Sprache
Department,Distrikt
Software,Software
School,Schule
Type,Typ
Non-ProfitOrganisation,gemeinnützige_Organisation
Agent,Agent
Biomolecule,Biomolekül
Broadcaster,Rundfunkveranstalter
Case,Sache
CelestialBody,Himmelskörper
ChemicalSubstance,chemische_Substanz
Document,Dokument
Gene,Gen
GridironFootballPlayer,Gridiron_Footballspieler
Group,Gruppe
Identifier,Bezeichner
Infrastructure,Infrastruktur
LegalCase,Rechtsfall
MeanOfTransportation,Transportmittel
MotorsportRacer,Motorsportler
NaturalEvent,Naturereignis
NaturalPlace,natürlicher_Ort
OrganisationMember,Organisationsmitglied
PeriodicalLiterature,Periodikum
Project,Projekt
Race,Rennen
Region,Region
RouteOfTransportation,Transportweg
SocietalEvent,gesellschatliches_Ereignis
SportsClub,Sportverein
SportsTeamSeason,Sport_Team_Saison
Tournament,Turnier
UnitOfWork,Arbeitseinheit
Work,Werk
FloweringPlant,bedecktsamige_Pflanze
ClericalAdministrativeRegion,klerikale_Verwaltungsregion
Gnetophytes,Gnetophyta
Conifer,Konifere
InlineHockeyLeague,Inlinehockey_Liga
Image,Bild
AustralianFootballTeam,Australian_Football_Team
SportsTeam,Sportmannschaft
Database,Datenbank
SportFacility,Sportanlage
Stream,Bach
BowlingLeague,Bowling-Liga
TopicalConcept,thematisches_Konzept
GovernmentalAdministrativeRegion,staatliche_Verwaltungsregion
Municipality,Gemeinde
RaceTrack,Rennstrecke
Tower,Turm
SportCompetitionResult,Ergebnisse_eines_Sportwettbewerbs
AcademicConference,wissenschaftliche_Konferenz
AdultActor,pornographischer_Schauspieler
AmateurBoxer,Amateurboxer
Ambassador,Botschafter
Amphibian,Amphibie
AnatomicalStructure,anatomische_Struktur
Animal,Tier
Arachnid,Spinnentier
Archaea,Archaeen
Archbishop,Erzbischof
Architect,Architekt
Artery,Arterie
Astronaut,Astronaut
Athlete,Athlet
AustralianFootballLeague,Australian Football League
AustralianRulesFootballPlayer,Australian Rules Football-Spieler
AutoRacingLeague,Auto Racing League
Bacteria,bakterium
BadmintonPlayer,Badmintonspieler
BaseballLeague,Baseball-Liga
BaseballPlayer,Baseballspieler
BasketballPlayer,Basketballspieler
BeachVolleyballPlayer,Beachvolleyballspieler
BeautyQueen,Schönheitskönigin
BiologicalDatabase,Biologische Datenbank
Bodybuilder,Bodybuilder
Bone,Knochen
Boxer,Boxer
Brain,Gehirn
Brewery,Brauerei
BusinessPerson,Unternehmer
Canal,Kanal
Canoeist,Kanute
Cardinal,Kardinal
CareerStation,Karrierestation
Castle,burg
Cave,Höhle
Cheese,Käse
Chef,Koch
ChessPlayer,Schachspieler
ChristianBishop,christlicher  Bischof
Cinema,Theater
ClassicalMusicArtist,Künstler der klassischen Musik
Cleric,geistlicher
CollegeCoach,College-Trainer
Colour,Farbe
CombinationDrug,Kombinationspräparat
Comedian,Komiker
ComicStrip,Comicstrip
ComicsCreator,Comicautor
Congressman,Abgeordneter
Crater,Krater
CricketGround,Cricketfeld
Cricketer,Cricketspieler
Crustacean,Krebstier
Curler,Curlingspieler
Currency,Währung
Cyclist,Radfahrer
Dam,Damm
Dancer,Tänzer
DartsPlayer,Dartspieler
Deity,Gottheit
Economist,Ökonom
EducationalInstitution,Bildungseinrichtung
Engineer,Ingenieur
Entomologist,Entomologe
Eukaryote,Eukaryoten
FashionDesigner,Modedesigner
FigureSkater,Eiskunstläufer
Fish,Fisch
FormerMunicipality,ehemalige Gemeinde
FormulaOneTeam,Formel-1 Team
Fungus,Pilz
GaelicGamesPlayer,gälischen Sportspieler
Garden,Garten
GivenName,Vorname
Glacier,Gletscher
GolfCourse,Golfplatz
GolfPlayer,Golfspieler
Governor,Gouverneur
Grape,Weintraube
Gymnast,Turner
HandballPlayer,Handballspieler
HandballTeam,Handballmannschaft
Historian,Historiker
HistoricalEvent,historisches Ereignis
Horse,Pferd
HorseTrainer,Pferdetrainer
IceHockeyPlayer,Eishockeyspieler
Island,Insel
Jockey,Jockey (Pferderennprofi)
Journalist,Journalist
LacrossePlayer,Lacrossespieler
Lighthouse,Leuchtturm
Mammal,säugetier
Mayor,Bürgermeister
Medician,Mediziner
MemberOfParliament,Parlamentsmitglied
MilitaryService,Militärdienst
Mineral,mineral
MixedMartialArtsLeague,Mixed  Kampfkunst Liga
Model,model
Mollusca,Weichtiere
MonoclonalAntibody,monoklonaler Antikörper
Motorcycle,Motorrad
MotorcycleRider,Motorradfahrer
MountainPass,Bergpass
Muscle,Muskel
MythologicalFigure,mythologische Gestalt
NascarDriver,NASCAR Fahrer
NationalFootballLeagueEvent,NFL Game day
Nerve,Nerv
NetballPlayer,نیٹ بال کھلاڑی
Noble,Adliger
Painter,Maler
Photographer,Fotograf
Poem,Gedicht
Poet,Dichter
PokerPlayer,Pokerspieler
PoloLeague,Polo-Liga
PopulatedPlace,bewohnter Ort
President,Präsident
Priest,priester
PrimeMinister,Premierminister
Prison,gefängnis
PublicTransitSystem,Öffentliches Personenverkehrssystem
Racecourse,Rennbahn
RailwayStation,Bahnhof
RailwayTunnel,Eisenbahntunnel
Rocket,Rakete
Scientist,Wissenschaftler
ScreenWriter,Drehbuchautor
Sea,Meer
SiteOfSpecialScientificInterest,wissenschaftliche Interessenvertretung für Denkmalschutz
Skater,Schlittschuhläufer
SkiArea,Skigebiet
Skier,skifahrer
Skyscraper,Hochhaus
SnookerPlayer,Snookerspieler
SoapCharacter,Soapoper Charakter
SoccerManager,Fußballmanager
SoccerPlayer,Fußballspieler
Species,Spezie
SpeedwayRider,Speedway Fahrer
Sport,Sportart
SquashPlayer,Squashspieler
SumoWrestler,Sumo-Ringer
Swimmer,Schwimmer
TableTennisPlayer,Tischtennisspieler
TelevisionHost,Fernsehmoderator
TennisPlayer,Tennisspieler
Tunnel,Tunnel
Vein,Vene
Volcano,Vulkan
VolleyballPlayer,Volleyballspieler
WineRegion,Weinregion
Winery,Weinkellerei
WorldHeritageSite,Weltkulturerbe
GreenAlga,Grünalge
AnimangaCharacter,Manga-Charakter
MusicalWork,musikalisches_Werk
WaterwayTunnel,Kanaltunnel
AmericanFootballCoach,American-Football-Trainer
CricketTeam,Cricketmannschaft
MilitaryPerson,militärische Person
SpeedwayTeam,Speedwayteam
VolleyballLeague,Volleyball-Liga
BroadcastNetwork,Sendergruppe
Fashion,Mode
Galaxy,Galaxie
LawFirm,Anwaltskanzlei
MartialArtist,Kampfkünstler
River,Fluss
Stadium,Stadion
Vaccine,Impfstoff
Wrestler,Ringer
Youtuber,Youtuber
ArchitecturalStructure,Bauwerk
ChristianPatriarch,christlicher_Patriarch
College,College
ConcentrationCamp,Konzentrationslager
Continent,Kontinent
FormulaOneRacer,Formel-1 Rennfahrer
Guitarist,Gitarrist
Judge,richter
Ligament,Band (Anatomie)
Lymph,Lymphe
NationalCollegiateAthleticAssociationAthlete,NCAA
Rower,Ruderer
Senator,Senator
Surname,Nachname
VoiceActor,Synchronsprecher
Bay,Bucht
CanadianFootballLeague,Kanadische Footballliga
Diocese,Diözese
Embryology,Embryologie
HorseRider,Reiter
PlayboyPlaymate,Playboy Playmate
SnookerChamp,Snookerweltmeister
VolleyballCoach,Volleyballtrainer
Battery,Batterie
Chancellor,Kanzler
CricketLeague,Cricket-Liga
GolfLeague,Golfliga
LacrosseLeague,Lacrosse-Liga
OlympicEvent,olympische_Veranstaltung
Presenter,Moderator
SpeedwayLeague,Speedway Liga
TimePeriod,Zeitraum
WaterRide,Wasserbahn
ClubMoss,Bärlapp
HollywoodCartoon,Hollywood Cartoon
Coach,Trainer
SportsManager,Sportmanager
WinterSportPlayer,Wintersportspieler
Moss,Laubmoss
VideogamesLeague,Videospiele-Liga
