class,linguistic pattern,predicate
http://dbpedia.org/ontology/Historian,deutscher,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Historian,deutscher,http://dbpedia.org/ontology/editor
http://dbpedia.org/ontology/Historian,österreichischer,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Historian,katholischer,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Historian,zahlreiche,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Historian,britischer,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Historian,promoviert,http://dbpedia.org/ontology/author
http://dbpedia.org/ontology/Canal,deutsch,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,französischer,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,langer,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,künstlich,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,latÃ©ral,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,parallel,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,französischen,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,künstliche,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,südlichen,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,Zuständig,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,südlich,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,heutigen,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Canal,zweigt,http://dbpedia.org/ontology/locatedInArea
http://dbpedia.org/ontology/Skier,ehemaliger,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,ehemaliger,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ehemalige,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,ehemalige,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,ehemaliger,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,spezialisiert,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,österreichischer,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,spezialisiert,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,spezialisiert,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,österreichischer,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,ehemalige,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,österreichischer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,österreichischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,österreichische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,österreichische,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,österreichische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,internationalen,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,österreichische,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,internationalen,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,österreichische,http://dbpedia.org/ontology/height
