LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Historiker,noun,m,Historiker,Historiker,Historiker,Historiker,Historikers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/editor,	http://dbpedia.org/ontology/WrittenWork	,http://dbpedia.org/ontology/Person  
Riesenslalom,noun,m,Riesenslalom,Riesenslaloms,Riesenslalom,Riesenslalom,Riesenslaloms,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Slalom,noun,m,Slalom,Slaloms,Slalom,Slalom,Slaloms,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Abfahrt,noun,f,Abfahrt,Abfahrten,Abfahrt,Abfahrt,Abfahrt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Schweizer,noun,m,Schweizer,Schweizer,Schweizer,Schweizer,Schweizers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Disziplin,noun,f,Disziplin,Disziplinen,Disziplin,Disziplin,Disziplin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Februar,noun,m,Februar,Februare,Februaren,Februare,Februar,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
April,noun,m,April,Aprile,Aprilen,Aprile,April,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Saison,noun,f,Saison,Saisons,Saison,Saisons,Saisonen,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
März,noun,m,März,Märze,März,Märzen,März,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
September,noun,m,September,September,Septembern,September,September,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Kombination,noun,f,Kombination,Kombinationen,Kombination,Kombination,Kombination,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Januar,noun,m,Januar,Januare,Januaren,Januare,Januars,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
November,noun,m,November,November,November,November,Novembers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
