LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
lehren,verb,lehren,lehrt,lehrte,gelehrt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
studieren,verb,studieren,studiert,studierte,studiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verlaufen,verb,verlaufen,verläuft,verlief,verlaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
verbinden,verb,verbinden,verbindet,verband,verbunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
enden,verb,enden,endet,endete,geendet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
ermöglichen,verb,ermöglichen,ermöglicht,ermöglichte,ermöglicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
anlegen,verb,anlegen,legt an,legte an,angelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
dienen,verb,dienen,dient,diente,gedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
bezeichnen,verb,bezeichnen,bezeichnet,bezeichnete,bezeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
zuschütten,verb,zuschütten,schüttet zu,schüttete zu,zugeschüttet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
liegen,verb,liegen,liegt,lag,gelegen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
führen,verb,führen,führt,führte,geführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
betragen,verb,betragen,beträgt,betrug,betragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
nennen,verb,nennen,nennt,nannte,genannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
münden,verb,münden,mündet,mündete,gemündet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Mountain,http://dbpedia.org/ontology/Country,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
starten,verb,starten,startet,startete,gestartet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place,von
