LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Sprache,noun,f,Sprache,Sprachen,Sprache,Sprache,Sprache,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/officialLanguage,	http://dbpedia.org/ontology/Country	,http://dbpedia.org/ontology/Language  
Nachfolger,noun,m,Nachfolger,Nachfolger,Nachfolger,Nachfolger,Nachfolgers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Kardinal,noun,m,Kardinal,Kardinäle,Kardinal,Kardinal,Kardinals,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Motorrad,noun,n,Motorrad,Motorräder,Motorrade,Motorräder,Motorrads,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Motorrad,noun,n,Motorrad,Motorräder,Motorrade,Motorräder,Motorrads,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Parlament,noun,n,Parlament,Parlamente,Parlamente,Parlamente,Parlaments,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leader,	http://dbpedia.org/ontology/Legislature	,http://dbpedia.org/ontology/Person     
Basketballspieler,noun,m,Basketballspieler,Basketballspieler,Basketballspieler,Basketballspieler,Basketballspielers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Weltmeister,noun,m,Weltmeister,Weltmeister,Weltmeister,Weltmeister,Weltmeisters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Insel,noun,f,Insel,Inseln,Insel,Insel,Insel,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location	,xsd:double                     
Musical,noun,n,Musical,Musicals,Musical,Musical,Musicals,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/musicBy,http://dbpedia.org/ontology/Musical	,http://dbpedia.org/ontology/Person  
Kanton,noun,m,Kanton,Kantone,Kanton,Kanton,Kantons,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Universitätsklinikum,noun,n,Universitätsklinikum,Universitätsklinika,Universitätsklinikum,Universitätsklinika,Universitätskliniken,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leader,	http://dbpedia.org/ontology/Legislature	,http://dbpedia.org/ontology/Person     
Ausgabe,noun,f,Ausgabe,Ausgaben,Ausgabe,Ausgabe,Ausgabe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/editor,	http://dbpedia.org/ontology/WrittenWork	,http://dbpedia.org/ontology/Person  
Beachvolleyballspielerin,noun,f,Beachvolleyballspielerin,Beachvolleyballspielerinnen,Beachvolleyballspielerin,Beachvolleyballspielerin,Beachvolleyballspielerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
